denial_reason_1,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,loan_term,property_value,occupancy_type,applicant_age,income
10,3,4,5,1,3,31,195000,4.949534551,360,450057.0659,1,4,53
10,3,2,5,1,1,1,265000,4.949534551,360,450057.0659,1,1,109
1,3,0,5,1,1,31,55000,4.949534551,180,335000,1,2,117
10,3,4,5,1,1,1,315000,7.125,360,325000,1,1,134
10,3,0,7,4,1,1,305000,6.95,360,345000,1,5,125.2476928
10,3,4,5,2,2,1,195000,6.625,360,185000,1,1,87
10,3,4,2,2,1,31,335000,4.949534551,360,450057.0659,1,1,175
10,3,4,5,3,1,1,165000,4.949534551,360,450057.0659,1,2,42
10,3,2,5,1,1,2,195000,7.25,360,1605000,1,1,249
3,3,0,6,3,2,32,285000,4.949534551,360,535000,1,2,61
10,3,4,5,1,1,1,245000,6.625,360,255000,1,0,62
10,3,0,6,3,1,1,315000,6.375,360,395000,1,1,250
10,3,4,5,1,1,32,75000,5.49,180,345000,1,2,175
10,3,4,5,1,1,1,5000,4.949534551,120,175000,1,0,65
10,3,4,3,2,2,1,345000,5.25,360,345000,1,0,138
10,3,2,5,2,2,1,335000,5.125,300,345000,1,0,74
9,3,4,2,1,1,32,395000,4.949534551,480,605000,3,4,0
10,3,2,5,1,1,1,105000,5.125,360,105000,1,6,43
10,3,4,6,2,1,1,455000,5.49,360,505000,1,0,116
10,3,4,5,1,1,32,75000,4.949534551,180,450057.0659,1,1,110
10,3,4,2,2,2,1,225000,5.75,360,235000,1,2,60
10,3,4,5,1,1,2,25000,6.39,180,145000,1,0,45
10,3,4,5,1,1,32,65000,4.625,180,305000,1,4,61
10,3,0,6,3,1,2,215000,3.125,180,495000,1,1,147
10,3,4,5,1,1,1,405000,5.375,360,545000,1,0,165
10,3,0,6,2,1,1,165000,2.25,360,215000,1,2,189
10,3,4,5,1,1,32,35000,3.5,180,155000,1,4,15
10,3,4,5,2,1,1,235000,7.25,360,435000,1,0,85
10,3,4,5,1,1,1,115000,4.875,360,145000,3,1,130
10,3,4,5,1,1,4,15000,5.75,120,125000,1,6,74
10,3,4,5,1,1,31,75000,2.875,120,275000,1,1,52
10,3,2,5,3,1,32,385000,4.949534551,360,450057.0659,1,4,12
10,3,4,2,2,1,31,575000,4.949534551,360,450057.0659,1,1,181
10,3,4,3,1,1,2,105000,5.99,240,555000,1,1,144
10,3,4,5,2,2,32,125000,6.705,325.5368732,275000,1,7,27
10,3,4,3,2,2,1,235000,4.949534551,360,450057.0659,1,2,76
10,3,4,5,2,1,32,35000,3.5,240,295000,1,1,88
10,3,4,2,2,1,1,265000,3.75,360,335000,1,0,62
10,3,0,7,4,1,4,295000,4.25,240,2265000,1,5,125.2476928
10,3,4,5,1,1,32,735000,2.875,360,945000,1,2,280
10,3,2,6,1,2,1,295000,4.625,360,305000,1,0,55
10,3,2,5,2,1,1,505000,4.875,360,1055000,1,0,93
10,3,4,5,3,1,31,145000,3.25,360,185000,1,0,51
10,3,4,3,2,1,1,485000,4.949534551,360,450057.0659,3,2,125.2476928
10,3,4,5,1,1,1,225000,6.99,360,245000,1,1,70
10,3,4,5,2,1,4,125000,7.625,180,745000,1,2,146
10,3,4,5,2,1,32,55000,4.949534551,240,450057.0659,1,0,90
9,3,2,5,2,1,1,175000,4.949534551,360,175000,1,0,70
1,3,4,5,2,1,1,275000,4.949534551,360,450057.0659,1,3,32
10,3,0,6,3,3,1,785000,4.625,360,765000,1,1,169
10,3,0,6,3,1,31,735000,4.949534551,325.5368732,450057.0659,1,0,725
10,3,4,5,1,3,1,295000,3.49,360,295000,1,0,59
10,3,0,6,1,3,1,765000,2.75,360,765000,1,1,111
10,3,4,5,1,2,1,115000,4.949534551,360,450057.0659,1,0,89
10,3,4,5,1,1,1,155000,6.25,360,185000,1,0,82
10,3,4,5,1,2,1,435000,6.75,360,435000,1,1,158
9,3,0,6,1,1,31,395000,4.949534551,240,705000,1,1,233
10,3,4,2,1,1,32,75000,5,360,105000,3,2,358
10,3,4,5,1,1,1,415000,5.625,360,605000,1,2,248
10,3,4,5,2,1,2,55000,4.75,360,545000,1,2,191
10,3,4,5,2,1,1,85000,4.625,180,105000,1,0,55
10,3,4,2,1,1,31,265000,3.875,360,435000,3,2,115
10,3,4,5,2,2,1,335000,3.835,325.5368732,565000,1,7,26
10,3,4,5,2,1,31,335000,4.949534551,360,450057.0659,1,2,94
3,3,0,6,2,1,31,75000,4.949534551,325.5368732,450057.0659,1,3,24
10,2,4,5,2,2,1,155000,6.5,360,165000,1,2,41
10,3,4,3,1,2,1,605000,5.25,360,615000,1,0,131
10,3,0,6,3,1,1,505000,6.25,360,535000,1,2,119
10,2,2,5,3,1,32,135000,4.949534551,360,450057.0659,1,7,60
10,3,0,6,1,1,31,125000,4.949534551,360,450057.0659,3,3,108
1,3,4,5,2,1,32,55000,4.949534551,360,455000,1,1,59
10,1,0,7,4,1,2,4615000,5.75,24,22155000,3,5,125.2476928
10,3,4,5,3,1,32,185000,4.949534551,180,450057.0659,1,5,36
3,3,0,6,3,2,32,175000,4.949534551,360,415000,1,3,104
10,3,4,5,1,1,32,175000,4.375,360,225000,1,2,107
10,3,4,5,2,1,31,85000,11.5,240,185000,1,3,112
10,3,4,5,2,1,31,65000,4.949534551,180,450057.0659,3,2,274
10,3,4,5,1,1,31,1125000,4.75,480,1495000,2,3,1188
10,3,4,5,1,1,32,175000,4.949534551,180,450057.0659,1,4,120
10,3,2,5,3,1,32,105000,4.949534551,360,450057.0659,2,2,120
10,3,4,5,1,1,32,255000,4.949534551,360,450057.0659,1,1,42
10,3,0,6,2,1,1,285000,6.125,360,345000,1,2,131
10,3,4,5,1,1,1,965000,3.125,360,1215000,1,1,328
4,3,0,6,2,2,1,155000,4.949534551,360,155000,1,1,97
10,3,4,5,1,1,31,185000,3.5,180,265000,3,2,160
10,3,4,5,1,1,1,505000,5.125,360,565000,1,0,140
10,3,4,5,2,1,1,435000,5.125,360,585000,1,2,107
10,3,4,5,1,1,1,475000,4.99,360,495000,1,1,133
10,3,4,5,1,1,32,235000,3,180,345000,1,2,123
10,3,4,5,2,1,1,155000,5.75,360,255000,1,1,58
3,3,4,3,3,1,1,145000,4.949534551,300,355000,1,2,72
10,3,0,7,4,1,1,425000,6.375,360,455000,1,5,125.2476928
1,3,4,3,1,1,1,255000,4.949534551,360,505000,1,0,142
10,3,4,5,2,1,1,175000,5.125,360,465000,1,3,78
10,3,0,7,4,2,1,395000,3.875,360,405000,1,5,125.2476928
10,3,2,5,3,2,32,305000,4.949534551,360,450057.0659,1,4,45
10,3,2,5,1,2,1,415000,4.949534551,360,450057.0659,1,2,84
10,3,4,5,3,1,32,255000,4.949534551,360,450057.0659,1,3,62
10,3,0,6,3,1,1,175000,6.25,360,225000,1,1,41
10,3,4,2,1,1,1,845000,4.45,360,1055000,1,6,173
10,3,4,2,2,1,1,615000,5.625,360,775000,1,0,154
10,3,4,5,1,2,1,135000,5.75,360,135000,1,6,80
10,3,4,3,2,1,31,55000,7.49,180,75000,1,1,74
10,2,0,5,1,2,1,165000,4.875,360,175000,1,1,52
10,3,4,3,2,1,1,975000,4.949534551,360,450057.0659,1,0,369
10,3,2,5,1,2,1,145000,5.125,360,155000,1,1,54
10,3,4,5,1,1,31,765000,4.125,360,965000,1,2,221
10,3,4,5,1,1,1,615000,4.949534551,360,450057.0659,1,1,253
10,3,4,5,2,1,1,435000,3.75,360,515000,1,0,158
10,3,4,2,1,1,1,345000,4.949534551,360,450057.0659,1,0,110
10,3,4,5,1,1,1,155000,4.949534551,360,450057.0659,1,6,50
10,3,0,7,4,1,1,475000,5.75,360,505000,1,5,125.2476928
10,3,4,5,1,1,1,445000,3.75,360,555000,1,2,184
3,3,4,5,1,1,32,145000,4.949534551,360,450057.0659,3,2,125.2476928
10,3,0,7,4,1,32,315000,5.5,360,445000,1,5,125.2476928
10,3,0,5,3,2,32,265000,4.949534551,360,450057.0659,1,4,96
10,3,0,6,6,1,2,55000,3.99,300,505000,1,3,75
10,3,4,5,2,1,1,455000,3.99,360,675000,1,4,128
10,3,4,5,1,1,1,275000,5.875,360,285000,1,0,135
4,2,4,5,2,1,1,115000,4.949534551,360,135000,1,3,46
3,3,2,5,2,1,32,215000,4.949534551,360,665000,1,4,14
10,3,4,5,1,1,1,235000,4.949534551,360,450057.0659,3,0,50
10,3,4,5,2,1,1,195000,4.25,360,215000,1,1,46
10,3,4,5,1,1,1,485000,5.375,360,605000,1,1,140
10,3,4,3,1,2,32,295000,5.25,360,365000,1,3,147
10,3,0,7,4,3,1,125000,7.5,360,115000,1,5,125.2476928
10,3,4,5,2,1,1,765000,4.949534551,360,450057.0659,1,3,309
10,3,4,5,1,1,32,645000,3.125,360,1655000,1,3,250
10,3,3,5,2,1,1,705000,4.949534551,360,450057.0659,1,1,156
10,3,4,5,3,1,32,415000,4.949534551,360,450057.0659,1,3,65
10,3,0,6,3,1,1,765000,3.625,360,955000,1,1,243
10,3,4,5,1,1,4,225000,5.625,360,565000,1,6,55
10,3,4,5,1,1,1,395000,4.949534551,360,450057.0659,2,4,113
10,3,0,6,2,1,32,285000,4.949534551,360,450057.0659,1,7,26
10,3,0,6,1,1,1,1175000,4.5,360,1575000,1,2,921
10,3,0,6,3,1,4,125000,4,180,155000,1,0,31
10,2,4,5,1,2,1,165000,5.5,360,195000,1,1,93
1,3,2,6,1,1,31,295000,4.949534551,360,405000,1,1,46
10,3,4,6,3,1,32,215000,4.949534551,360,450057.0659,1,2,168
10,3,4,5,1,1,2,45000,4.25,180,195000,1,2,75
10,3,4,5,2,1,4,35000,3.99,84,285000,1,4,40
10,3,0,7,4,4,1,155000,6.75,360,155000,1,5,125.2476928
10,2,2,6,1,1,1,25000,5.49,84,25000,1,6,66
10,3,4,5,1,2,1,55000,5.625,360,55000,1,0,56
10,3,4,5,2,2,1,95000,5.625,360,165000,1,3,38
10,3,4,5,2,1,1,275000,4.5,360,305000,1,6,69
10,3,2,5,1,1,1,385000,7.5,360,415000,1,6,85
10,3,4,5,1,1,32,55000,5.25,180,455000,1,4,26
10,3,4,5,1,1,31,105000,4.949534551,180,450057.0659,1,4,67
10,3,4,6,1,2,1,145000,6.125,360,155000,1,6,35
10,3,4,5,2,1,1,145000,5.875,360,185000,3,3,44
10,3,4,5,1,1,2,15000,4.49,240,695000,1,1,112
10,3,4,5,1,1,1,315000,6.125,360,415000,3,2,420
10,3,4,6,1,1,32,315000,4.25,240,395000,1,1,149
10,3,0,6,3,1,1,265000,4.949534551,360,450057.0659,1,2,74
3,3,4,3,1,1,1,215000,4.949534551,360,305000,1,4,42
10,3,0,6,2,1,1,515000,4.949534551,360,450057.0659,1,0,155
10,3,2,5,2,2,1,235000,5.75,360,235000,1,2,54
10,3,4,5,1,1,1,375000,4.125,360,395000,1,0,78
10,3,4,2,2,1,1,415000,5.625,360,545000,3,0,326
10,3,2,5,1,1,31,245000,6.875,360,535000,1,1,51
10,3,2,6,1,1,1,275000,7.99,360,365000,3,2,144
10,3,4,5,1,1,1,185000,5.625,360,195000,1,0,41
5,3,4,3,2,1,1,305000,4.949534551,360,375000,1,0,71
9,3,4,5,2,1,32,215000,4.949534551,360,265000,1,0,66
10,3,4,5,1,1,31,455000,4.949534551,360,450057.0659,1,1,156
10,3,4,5,2,2,1,285000,4.949534551,360,450057.0659,1,1,68
10,3,4,5,1,2,1,285000,3.875,360,295000,1,1,68
10,3,4,5,2,4,1,175000,5.25,360,275000,1,1,70
10,3,4,5,1,1,32,255000,4.949534551,360,450057.0659,1,4,130
10,3,0,6,1,1,1,205000,5.375,360,225000,1,0,49
10,3,4,5,1,1,31,115000,4.949534551,120,450057.0659,1,4,99
10,3,0,3,2,2,1,375000,3.75,360,385000,1,1,66
10,3,4,5,1,1,1,105000,5.49,360,115000,1,0,46
10,3,4,5,1,1,32,215000,3.375,120,295000,1,2,205
10,3,4,3,3,2,32,105000,4.949534551,360,450057.0659,1,2,34
10,3,0,6,3,1,1,185000,4.949534551,360,450057.0659,1,2,60
10,3,4,5,1,2,32,265000,5.75,360,445000,1,5,125.2476928
10,3,4,5,1,1,32,405000,4.25,360,685000,3,2,335
10,3,0,6,1,1,1,335000,5.125,360,555000,1,1,99
