,total_loan_costs,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,total_loan_costs,loan_term,property_value,occupancy_type,applicant_age,income,denial_reason_1
133,11045.22,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,325000,6.75,11045.22,360,345000,1,25-34,109,10
134,4328.05,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,325000,7.375,4328.05,360,345000,1,35-44,105,10
135,4790.98,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,305000,6.875,4790.98,360,555000,1,25-34,73,10
137,20757.7,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,355000,6.625,20757.7,360,355000,1,45-54,97,10
139,7894.36,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,2,1,185000,6.75,7894.36,360,205000,1,55-64,58,10
141,11824.62,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,445000,7.25,11824.62,360,455000,1,55-64,165,10
143,3671.22,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,375000,6.5,3671.22,360,545000,1,25-34,120,10
144,16027.41,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,1,275000,6.75,16027.41,360,305000,1,25-34,73,10
149,5654.76,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,245000,6.25,5654.76,360,255000,1,<25,66,10
151,6394.83,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,5,2,1,1,135000,6.375,6394.83,360,145000,1,35-44,46,10
155,5460.1,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,32,85000,5.625,5460.1,360,305000,1,>74,21,10
156,6193.15,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,185000,6.625,6193.15,360,335000,1,55-64,77,10
158,7369.2,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,2,1,215000,6.5,7369.2,360,215000,1,45-54,91,10
161,8784.16,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,1,225000,6.374,8784.16,360,255000,1,25-34,50,10
163,5975.66,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,1,315000,6.99,5975.66,360,325000,1,45-54,64,10
170,25385.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,1345000,7.625,25385.15,360,1795000,1,65-74,310,10
172,16536.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,545000,5.75,16536.58,360,555000,1,25-34,106,10
175,21248.43,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,515000,5.75,21248.43,360,505000,1,25-34,90,10
177,5308.81,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,235000,6.625,5308.81,360,295000,1,45-54,110,10
179,9735.56,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,325000,7.375,9735.56,360,335000,1,35-44,163,10
182,2575.1,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,225000,6.125,2575.1,360,275000,1,35-44,52,10
185,5871.69,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,185000,6.999,5871.69,360,245000,1,35-44,130,10
186,25166.57,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,385000,5.75,25166.57,360,395000,1,45-54,88,10
