,total_loan_costs,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,total_loan_costs,loan_term,property_value,occupancy_type,applicant_age,income,denial_reason_1
62981,5208.5,Single Family (1-4 Units):Site-Built,Joint,5,2,1,1,385000,3.75,5208.5,360,405000,1,25-34,211,10
62983,6856.31,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,165000,3.875,6856.31,360,215000,3,45-54,176,10
62986,3916.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,115000,3.49,3916.08,360,465000,1,65-74,115,10
62987,5347.5,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,1,395000,4.375,5347.5,360,495000,1,35-44,215,10
62988,4678.72,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,545000,3.75,4678.72,360,585000,1,25-34,135,10
62990,4557,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,32,145000,3.125,4557,360,645000,1,55-64,58,10
62993,5985,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,455000,3.99,5985,360,655000,3,35-44,419,10
62994,5852.45,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,1,1,625000,3.25,5852.45,360,645000,1,25-34,133,10
62995,4550.39,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,31,265000,3.625,4550.39,360,335000,1,25-34,44,10
62996,6180,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,535000,2.75,6180,360,735000,1,35-44,85,10
62997,4718.62,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,205000,3.375,4718.62,360,475000,1,>74,144,10
62998,3842.68,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,245000,3.25,3842.68,360,475000,1,65-74,56,10
62999,11267.5,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,32,265000,2.875,11267.5,360,325000,1,45-54,45,10
63001,10858,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,405000,3.375,10858,360,505000,1,25-34,94,10
63002,8171.4,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,32,465000,3.625,8171.4,360,825000,1,55-64,83,10
63003,4550.25,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,3,1,395000,3.25,4550.25,360,395000,1,45-54,149,10
63004,4945.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,255000,3.625,4945.58,360,275000,1,45-54,64,10
63006,14306.5,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,3,1,595000,2.75,14306.5,360,655000,1,35-44,103,10
63007,7624.33,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,375000,3.99,7624.33,360,505000,1,65-74,142,10
63011,5029.4,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,255000,3.5,5029.4,360,405000,1,35-44,71,10
63012,5028.08,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,225000,3.375,5028.08,360,285000,1,55-64,58,10
63014,7021.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,645000,3,7021.5,360,1055000,1,35-44,405,10
63015,5269.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,365000,4.625,5269.25,360,455000,3,35-44,48,10
63016,10349.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,31,795000,3,10349.5,360,1035000,1,45-54,165,10
63024,6656.4,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,1,1,545000,3.5,6656.4,360,575000,1,35-44,109,10
63025,12185.2,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,1,445000,3.375,12185.2,360,555000,1,25-34,94,10
63026,2944,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,175000,3.25,2944,360,995000,1,55-64,74,10
63029,3879.45,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,315000,2.875,3879.45,360,725000,1,45-54,244,10
63030,9484.78,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,295000,3.375,9484.78,360,375000,1,25-34,140,10
63031,8656,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,475000,4.375,8656,360,595000,1,65-74,230,10
63032,10083.2,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,1,255000,3.125,10083.2,360,265000,1,35-44,84,10
63033,6263.23,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,345000,4,6263.23,360,475000,1,55-64,57,10
63034,7185.08,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,2,1,175000,4.25,7185.08,360,185000,1,35-44,61,10
63036,5540.34,Single Family (1-4 Units):Site-Built,Joint,5,2,1,32,495000,3.875,5540.34,360,645000,1,25-34,157,10
63037,5163.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,595000,3.375,5163.5,360,855000,1,25-34,104,10
63038,9707.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,565000,3.99,9707.58,360,725000,1,35-44,93,10
63039,3914.72,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,5,1,1,31,155000,3.375,3914.72,300,245000,1,35-44,30,10
63042,8096.18,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,405000,3.25,8096.18,360,635000,1,65-74,106,10
63043,7484.72,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,975000,3.625,7484.72,360,1745000,1,>74,142,10
63045,4258.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,285000,3.25,4258.08,360,355000,1,35-44,120,10
63047,2986.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,31,385000,3.99,2986.08,300,655000,1,55-64,113,10
63048,7350.75,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,2,1,175000,3.25,7350.75,360,185000,1,25-34,50,10
63051,3370,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,345000,2.875,3370,360,905000,1,55-64,135,10
63052,6086.95,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,1,32,225000,3.99,6086.95,360,295000,3,25-34,41,10
63053,4501.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,305000,3.875,4501.08,360,385000,1,25-34,84,10
63055,8491.88,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,32,255000,3.5,8491.88,360,325000,1,35-44,103,10
63058,5552.58,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,3,32,455000,2.5,5552.58,360,605000,1,45-54,197,10
63061,5326.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,425000,3.5,5326.58,360,455000,1,65-74,87,10
63062,9290,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,485000,3,9290,240,615000,1,25-34,105,10
63063,6016.61,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,465000,3.875,6016.61,360,475000,1,25-34,112,10
63064,2863.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,65000,3.375,2863.58,360,355000,1,55-64,68,10
63066,3555.1,Single Family (1-4 Units):Site-Built,Joint,5,2,1,32,75000,3.99,3555.1,360,255000,3,55-64,86,10
63069,9453,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,605000,3.75,9453,360,825000,1,35-44,89,10
63070,14410,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,1,465000,3.25,14410,360,595000,1,45-54,82,10
63071,7222.03,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,255000,3.875,7222.03,360,395000,3,45-54,168,10
63072,3903,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,32,235000,3.375,3903,360,465000,1,45-54,34,10
63074,3610,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,31,405000,3.75,3610,360,775000,3,35-44,419,10
63075,15822.45,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,485000,3.25,15822.45,360,655000,2,45-54,592,10
63076,4473.36,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,31,265000,2.75,4473.36,180,355000,1,<25,110,10
63077,5279.04,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,205000,2.99,5279.04,180,795000,1,45-54,83,10
63078,9337,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,595000,3.125,9337,360,995000,1,45-54,120,10
63079,10322.83,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,2,1,295000,3.25,10322.83,360,305000,1,25-34,71,10
63080,9398,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,455000,2.375,9398,180,525000,1,55-64,304,10
63081,4341.08,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,135000,3.5,4341.08,360,145000,1,55-64,35,10
63083,4301.5,Single Family (1-4 Units):Site-Built,Joint,5,1,1,1,265000,3.875,4301.5,360,425000,1,65-74,157,10
63085,9350.05,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,405000,3.375,9350.05,360,455000,1,45-54,126,10
63086,6769.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,1,32,275000,3.875,6769.08,360,375000,3,35-44,75,10
63087,3086,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,375000,2.99,3086,360,995000,1,55-64,85,10
63088,4798.03,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,205000,3.875,4798.03,360,355000,3,45-54,168,10
63089,9244.33,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,645000,3.125,9244.33,360,945000,1,25-34,110,10
63093,4511,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,495000,3.75,4511,360,1355000,3,55-64,234,10
63094,6285.04,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,4,1,175000,2.875,6285.04,360,175000,1,35-44,44,10
63096,7459.95,Single Family (1-4 Units):Site-Built,Joint,2,2,1,1,565000,3.875,7459.95,360,645000,1,35-44,168,10
63097,9738.75,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,595000,3.875,9738.75,360,615000,1,25-34,112,10
63098,5485.21,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,195000,3.5,5485.21,360,295000,1,55-64,76,10
63100,5971.32,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,645000,3.75,5971.32,360,1105000,3,35-44,419,10
63101,3994.38,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,32,125000,3.49,3994.38,360,195000,1,65-74,28,10
63103,5968,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,735000,3.375,5968,360,975000,1,55-64,144,10
63105,5104,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,375000,3.75,5104,360,395000,1,25-34,97,10
63106,5006.08,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,505000,3.5,5006.08,360,625000,1,35-44,234,10
63107,5283.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,175000,3.375,5283.08,360,415000,1,65-74,49,10
63109,11588,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,1,1,365000,3.75,11588,360,455000,1,55-64,112,10
63111,7148.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,305000,3.75,7148.58,360,315000,1,35-44,69,10
63114,6211.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,385000,3.625,6211.5,360,405000,1,55-64,64,10
63116,5301.1,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,4,2,1,32,245000,3.25,5301.1,360,305000,1,25-34,72,10
63118,9649.73,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,375000,3.25,9649.73,360,465000,1,45-54,85,10
63119,5899.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,175000,3.375,5899.08,360,215000,1,25-34,44,10
63120,8093.08,Single Family (1-4 Units):Site-Built,Joint,5,2,1,1,365000,3.125,8093.08,360,515000,1,45-54,78,10
63121,3678.25,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,31,145000,3.625,3678.25,360,205000,1,35-44,66,10
63123,4912.46,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,355000,3.5,4912.46,360,375000,1,35-44,73,10
63124,11033,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,205000,3.25,11033,360,865000,1,65-74,86,10
63125,11884.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,485000,3.875,11884.8,360,655000,3,55-64,278,10
63126,3786.5,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,85000,3.625,3786.5,360,115000,3,55-64,138,10
63127,4111,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,32,445000,3.375,4111,360,795000,1,35-44,66,10
63128,6839.02,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,235000,4.25,6839.02,360,315000,1,35-44,94,10
63129,3384,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,505000,3,3384,360,995000,1,65-74,165,10
63130,3803.16,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,105000,3.625,3803.16,360,265000,3,35-44,80,10
63131,7143,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,1,925000,3.625,7143,360,1155000,1,35-44,277,10
63132,3884.93,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,65000,3.99,3884.93,360,195000,3,55-64,14,10
63133,3395,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,445000,3,3395,360,805000,1,55-64,97,10
63135,4124.49,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,315000,3,4124.49,240,535000,1,45-54,160,10
63136,2836.08,Single Family (1-4 Units):Site-Built,Joint,5,2,1,32,195000,3.625,2836.08,360,425000,1,45-54,55,10
63138,7044.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,495000,4.5,7044.15,360,525000,1,35-44,301,10
63141,8999,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,265000,4.25,8999,360,355000,1,>74,50,10
63144,16002.66,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,3,1,395000,3.125,16002.66,360,385000,1,35-44,66,10
63147,6102,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,345000,3.625,6102,360,455000,3,55-64,423,10
63151,5982.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,445000,3.99,5982.5,360,635000,3,35-44,421,10
63153,5596.79,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,235000,3.5,5596.79,360,295000,1,35-44,85,10
63154,3681.75,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,305000,3.875,3681.75,360,465000,1,45-54,78,10
63157,7005.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,1005000,2.625,7005.5,360,1275000,1,35-44,251,10
63159,4281,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,32,105000,2.875,4281,180,265000,1,35-44,25,10
63160,4992,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,2,1,1,275000,3.25,4992,360,635000,1,35-44,71,10
63161,8686.15,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,32,335000,3.75,8686.15,360,575000,3,>74,131,10
63162,5060.8,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,645000,3.125,5060.8,360,1085000,1,25-34,172,10
63163,47054.84,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,785000,3.125,47054.84,360,795000,1,35-44,121,10
63165,16400.72,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,5,2,1,32,485000,2.875,16400.72,360,815000,1,65-74,118,10
63168,11758.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,365000,3.5,11758.08,360,855000,3,45-54,592,10
63170,14236.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,495000,2.99,14236.5,360,595000,1,25-34,75,10
63171,6077,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,525000,3.99,6077,360,615000,1,35-44,182,10
63172,5379.58,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,425000,3.625,5379.58,360,445000,1,45-54,108,10
63173,9947.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,255000,2.99,9947.58,360,315000,1,45-54,48,10
63174,4456.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,1,1,225000,2.875,4456.08,180,705000,1,55-64,286,10
63175,6196.48,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,295000,3.49,6196.48,360,415000,1,35-44,126,10
63177,3427,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,415000,3.625,3427,360,725000,1,35-44,165,10
63179,11882.04,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,575000,3.875,11882.04,360,775000,3,35-44,226,10
63180,7805.08,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,5,1,1,1,255000,3.99,7805.08,360,315000,3,35-44,149,10
63181,5130.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,285000,3.625,5130.15,360,355000,1,45-54,54,10
63182,11355,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,405000,4.375,11355,360,615000,3,65-74,112,10
63184,12738.82,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,425000,3.25,12738.82,360,465000,1,35-44,83,10
63189,3836,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,405000,3.625,3836,360,575000,1,25-34,88,10
63190,8142.03,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,365000,3.99,8142.03,360,485000,3,55-64,125,10
63191,3287.08,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,275000,3.375,3287.08,360,575000,1,45-54,63,10
63194,9213.58,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,5,2,1,1,395000,3.5,9213.58,360,415000,1,35-44,87,10
63195,5723.68,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,335000,3.99,5723.68,360,485000,3,35-44,419,10
63197,13680.75,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,2,32,535000,3.125,13680.75,360,775000,1,45-54,121,10
63199,5150,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,185000,3.5,5150,360,395000,1,65-74,95,10
63202,10715.2,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,2,1,255000,3.25,10715.2,360,265000,1,55-64,81,10
63203,6677.92,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,225000,3.375,6677.92,360,265000,1,<25,36,10
63206,15331.34,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,375000,3.75,15331.34,360,365000,1,55-64,102,10
63207,8645.96,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,1,32,355000,4,8645.96,360,465000,1,35-44,164,10
63209,3656.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,32,355000,3.875,3656.08,360,475000,1,65-74,218,10
63210,3117,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,31,305000,3.875,3117,360,595000,1,35-44,99,10
63211,10433.25,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,32,195000,3.75,10433.25,360,305000,1,55-64,57,10
63212,8869.48,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,245000,3.125,8869.48,360,305000,2,45-54,109,10
63213,2885,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,175000,3.75,2885,360,295000,1,35-44,51,10
63214,5431.71,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,1,225000,3.5,5431.71,360,245000,1,35-44,37,10
63216,4364,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,32,575000,3.625,4364,360,725000,1,35-44,119,10
63218,5740.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,425000,3.625,5740.15,360,445000,1,25-34,120,10
63219,9302.03,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,435000,3.25,9302.03,360,735000,1,25-34,121,10
63220,6134.23,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,305000,4.375,6134.23,360,445000,1,35-44,93,10
63223,13519.12,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,2,1,465000,3.25,13519.12,360,475000,1,65-74,129,10
63224,5043.77,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,215000,3.99,5043.77,360,305000,1,35-44,40,10
63225,5874,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,6,1,1,295000,3.625,5874,360,375000,2,35-44,332,10
63226,3371,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,31,95000,3,3371,180,405000,1,35-44,63,10
63227,6783.5,Single Family (1-4 Units):Site-Built,Joint,5,1,1,31,245000,4.375,6783.5,360,405000,3,>74,74,10
63228,3491,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,31,395000,3.375,3491,360,665000,1,35-44,125,10
63230,5202.23,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,155000,3.875,5202.23,360,305000,1,55-64,93,10
63232,10430.88,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,505000,3.375,10430.88,360,545000,1,<25,93,10
63233,3395,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,31,445000,3.125,3395,360,805000,1,55-64,161,10
63234,4647,Single Family (1-4 Units):Site-Built,Joint,5,2,1,1,285000,3.99,4647,360,305000,1,25-34,103,10
63235,4897,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,185000,2.75,4897,180,435000,1,55-64,80,10
63236,6762.45,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,1,275000,3.5,6762.45,360,305000,1,45-54,51,10
63237,5421.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,205000,3.625,5421.08,360,425000,3,55-64,151,10
63238,4208.08,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,125000,3.5,4208.08,360,235000,3,65-74,56,10
63239,5559.33,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,1,245000,3.875,5559.33,360,255000,1,25-34,81,10
63241,6282,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,535000,2.875,6282,360,985000,1,55-64,128,10
63242,6709.58,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,205000,3.625,6709.58,360,265000,1,55-64,87,10
63243,4460.08,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,265000,3.875,4460.08,360,275000,1,55-64,63,10
63244,11901.16,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,475000,2.99,11901.16,360,785000,1,55-64,165,10
63246,7407,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,645000,3.375,7407,360,805000,1,35-44,173,10
63247,12491,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,32,375000,3.25,12491,360,485000,1,35-44,48,10
63250,7317,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,2,32,205000,3.375,7317,360,405000,1,45-54,36,10
63251,7722.6,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,575000,3.875,7722.6,360,715000,1,25-34,113,10
63253,10634.64,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,32,385000,3.75,10634.64,360,565000,3,35-44,145,10
63254,3874.28,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,32,355000,3.625,3874.28,360,545000,1,25-34,85,10
63255,11543.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,32,435000,3.625,11543.5,360,565000,1,45-54,96,10
63257,2912,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,31,105000,2.875,2912,120,655000,1,45-54,40,10
63258,7072.85,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,645000,3.625,7072.85,360,715000,1,25-34,131,10
63259,5379.78,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,365000,3.625,5379.78,360,455000,1,35-44,82,10
63260,4827.92,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,31,165000,3.375,4827.92,360,245000,1,25-34,60,10
63261,3454,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,31,275000,3,3454,360,765000,1,55-64,100,10
63263,9188.14,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,275000,4,9188.14,360,275000,1,25-34,58,10
63265,12043.66,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,295000,3.25,12043.66,360,315000,1,25-34,73,10
63267,5223.54,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,315000,3.99,5223.54,360,325000,1,45-54,114,10
63272,9535.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,455000,3.875,9535.95,360,505000,1,45-54,68,10
63273,11433.96,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,395000,4,11433.96,360,405000,1,35-44,83,10
63274,3407.08,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,465000,2.625,3407.08,180,975000,1,65-74,392,10
63275,4825.52,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,31,195000,2.99,4825.52,240,405000,1,25-34,55,10
63276,4951.96,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,265000,3.5,4951.96,360,375000,1,45-54,96,10
63277,5753.16,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,455000,3.5,5753.16,360,545000,1,55-64,175,10
63278,5756.15,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,205000,4.125,5756.15,360,215000,1,45-54,47,10
63285,4169.76,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,32,355000,4.25,4169.76,360,445000,1,25-34,94,10
63288,3139.64,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,31,425000,3.625,3139.64,360,805000,1,25-34,273,10
63289,16322,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,2405000,3.25,16322,360,3205000,1,45-54,501,10
63291,4145.08,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,32,235000,3.875,4145.08,360,515000,1,45-54,63,10
